Date,Day,Event Description
04/21/2025,Monday,A: Wear something that begins with A (alligator astronaut etc)
04/22/2025,Tuesday,B: Wear something that begins with B (blue bees beach etc)
04/23/2025,Wednesday,C: Wear something that begins with C (cats crayons college etc)
04/24/2025,Thursday,D: Wear something that begins with D (dogs dots etc)
04/25/2025,Friday,Red: Wear anything red!
04/28/2025,Monday,E: Wear something that begins with E (elephant etc)
04/29/2025,Tuesday,F: Wear something that begins with F (flowers friends fancy)
04/30/2025,Wednesday,G: Wear something that begins with G (green goat grandma etc)
05/01/2025,Thursday,H: Wear something that begins with H (hearts hat hot pink etc)
05/02/2025,Friday,Orange: Wear anything orange
05/05/2025,Monday,I: Wear something that starts with I (ice cream insects itch etc)
05/06/2025,Tuesday,J: Wear something that starts with J (jellyfish jumper jumpsuit etc)
05/07/2025,Wednesday,K: Wear something that starts with K (kindness kitten etc)
05/08/2025,Thursday,L: Wear something that starts with L (lemon lines lion etc)
05/09/2025,Friday,International Night: Wear cultural dress!
05/12/2025,Monday,M: Wear something that starts with M (maroon mermaids moon skirt etc)
05/13/2025,Tuesday,N: Wear something that starts with N (neon ninja etc)
05/14/2025,Wednesday,O: Wear something that starts with O (octopus overalls orange etc)
05/15/2025,Thursday,P: Wear something that starts with P (plaid polka dots purple etc)
05/16/2025,Friday,Yellow: Wear anything yellow!
05/19/2025,Monday,Q: Wear something that starts with Q (quilted queen etc)
05/20/2025,Tuesday,R: Wear something that starts with R (red rainbow running shoes etc)
05/21/2025,Wednesday,S: Wear something that starts with S (sparkly stripes sweatshirt socks etc)
05/22/2025,Thursday,T: Wear something that starts with T (turtle teacher tutu etc)
05/23/2025,Friday,Green: Wear anything green!
05/26/2025,Monday,U: Wear something that starts with U (unicorns uniform etc)
05/27/2025,Tuesday,V: Wear something that starts with V (violet vest v-neck etc)
05/28/2025,Wednesday,W: Wear something that starts with W (western whale white etc)
05/29/2025,Thursday,Blue: Wear anything blue!
05/30/2025,Friday,Blue: Wear anything blue!
06/02/2025,Monday,X: Wear something that starts with X (x-ray x-back/pattern X-mas etc)
06/03/2025,Tuesday,Y: Wear something that starts with Y (yellow yarn yoga pants etc)
06/04/2025,Wednesday,Z: Wear something that starts with Z (zig-zags zebra zipper etc)
06/05/2025,Thursday,Purple: Wear anything purple!
06/06/2025,Friday,Pink: Wear anything pink!
06/09/2025,Monday,Favorite: Wear your favorite item of clothing
06/10/2025,Tuesday,Fancy: Wear your fanciest clothes!
